Ranking;EmpresaID;Empresa;EAN;Produto;Laboratório;Categoria;Curva;Ação;Preço_Atual;Preço_Recomendado;Variação_Pct;Margem_Atual;Margem_Recomendada;Preço_Concorrente;Estoque;Ganho_Estimado;Score_IA;Motivo;Data_Hora
11;1;ECONOMIZE - MAYCON;7898650423033;*COMPLEXO B 60 CAPS 250 MG;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.8000800080008001;0.0;99.99;57.0;4658.37;73.55;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
12;1;ECONOMIZE - MAYCON;7896714265858;BETA+BETA-BECLONATO INJ C/1 AMP;NEO QUIMICA;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.7672387922829838;0.0;30.4;128.0;3318.96;73.52;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
13;1;ECONOMIZE - MAYCON;7898650423880;*VIT-FAGIUM  60 CAPS;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7507142857142857;0.0;140.0;84.0;3528.8;73.45;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
14;1;ECONOMIZE - MAYCON;7897653549146;KIT FIGURINHAS COPA 7 UND;REVAL;PRINCIPAL > PERFUMARIA;Não informado;Revisar margem;0.0;0.0;0.0;0.2757805832760679;0.0;5.25;121.0;3207.46;73.4;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
15;1;ECONOMIZE - MAYCON;7908738903002;*SEAME PROPOLIS 60 CAPS;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.6952941176470587;0.0;85.0;53.0;3469.7;73.16;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
16;1;ECONOMIZE - MAYCON;5000456096591;PBM FORXIGA 10MG 30CPR;ASTRAZENECA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.6415674639070811;0.0;77.1;23.0;5424.89;73.11;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
17;1;ECONOMIZE - MAYCON;7891317017385;SERTRALINA 50MG C/30 CPR;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.8438331541791348;0.0;55.0;20.0;7579.63;73.1;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
18;1;ECONOMIZE - MAYCON;7896004720746;AMOX+CLAV 400+57MG 70ML;EMS GENERICO;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7810879970027631;0.0;103.16;40.0;3804.98;73.02;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
19;1;ECONOMIZE - MAYCON;7895858016241;DURATESTON 250MG;ASPEN;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3549421940545752;0.0;59.4;67.0;2762.84;72.91;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
20;1;ECONOMIZE - MAYCON;7898650423583;*NEUROPLUS IMMUNITY 30 CPS;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7519442;0.0;80.0;125.0;2423.6;72.82;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
